entity_code,entity_name,counterpart_name,income_level,continent,indicator_code,year,value
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2017,0.9716
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2016,0.7743
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2015,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2014,0.7499
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2013,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2012,0.6601
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2011,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2010,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2008,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2007,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2005,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2004,0.7499
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2003,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2002,0.7499
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2001,0.7499
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1998,0.7499
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1997,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1994,0.7499
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1993,2.7813
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1992,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1991,8.05
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1990,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1989,4.2533
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1987,3.4973
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1986,0.729
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1985,0.75
ETH,Ethiopia,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1984,4.6049
